architecture,model_name,operation,decoder,feature_dim,line_resolution,plane_resolution,seed,psnr,param_count,param_efficiency,training_time,psnr_history,final_loss,reconstruction
kplanes,K-planes(add),add,linear,32,32,0,42,12.051915589308278,2081,0.005791405857428293,93.70500111579895,"[np.float64(3.8323847719363533), np.float64(12.0517230451842), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915848807466), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915589308278)]",0.06234597787261009,"[[0.71469826 0.70379746 0.69289666 ... 0.52971524 0.52461714 0.51951915]
 [0.7145951  0.7036942  0.6927935  ... 0.52961206 0.524514   0.5194159 ]
 [0.7144919  0.70359117 0.6926904  ... 0.52950895 0.52441084 0.5193128 ]
 ...
 [0.27584514 0.2649444  0.25404364 ... 0.0908622  0.08576415 0.0806661 ]
 [0.27431864 0.26341787 0.2525171  ... 0.08933566 0.08423761 0.07913955]
 [0.2727921  0.2618913  0.25099057 ... 0.08780912 0.08271106 0.077613  ]]"
kplanes,K-planes(add),add,linear,32,32,0,43,12.051915589308278,2081,0.005791405857428293,92.4880621433258,"[np.float64(3.8323847719363533), np.float64(12.0517230451842), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915848807466), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915589308278)]",0.06234597787261009,"[[0.71469826 0.70379746 0.69289666 ... 0.52971524 0.52461714 0.51951915]
 [0.7145951  0.7036942  0.6927935  ... 0.52961206 0.524514   0.5194159 ]
 [0.7144919  0.70359117 0.6926904  ... 0.52950895 0.52441084 0.5193128 ]
 ...
 [0.27584514 0.2649444  0.25404364 ... 0.0908622  0.08576415 0.0806661 ]
 [0.27431864 0.26341787 0.2525171  ... 0.08933566 0.08423761 0.07913955]
 [0.2727921  0.2618913  0.25099057 ... 0.08780912 0.08271106 0.077613  ]]"
kplanes,K-planes(add),add,linear,32,32,0,44,12.051915589308278,2081,0.005791405857428293,91.16220188140869,"[np.float64(3.8323847719363533), np.float64(12.0517230451842), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915848807466), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915589308278)]",0.06234597787261009,"[[0.71469826 0.70379746 0.69289666 ... 0.52971524 0.52461714 0.51951915]
 [0.7145951  0.7036942  0.6927935  ... 0.52961206 0.524514   0.5194159 ]
 [0.7144919  0.70359117 0.6926904  ... 0.52950895 0.52441084 0.5193128 ]
 ...
 [0.27584514 0.2649444  0.25404364 ... 0.0908622  0.08576415 0.0806661 ]
 [0.27431864 0.26341787 0.2525171  ... 0.08933566 0.08423761 0.07913955]
 [0.2727921  0.2618913  0.25099057 ... 0.08780912 0.08271106 0.077613  ]]"
kplanes,K-planes(add),add,linear,32,32,0,45,12.051915589308278,2081,0.005791405857428293,91.44180703163147,"[np.float64(3.8323847719363533), np.float64(12.0517230451842), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915848807466), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915589308278)]",0.06234597787261009,"[[0.71469826 0.70379746 0.69289666 ... 0.52971524 0.52461714 0.51951915]
 [0.7145951  0.7036942  0.6927935  ... 0.52961206 0.524514   0.5194159 ]
 [0.7144919  0.70359117 0.6926904  ... 0.52950895 0.52441084 0.5193128 ]
 ...
 [0.27584514 0.2649444  0.25404364 ... 0.0908622  0.08576415 0.0806661 ]
 [0.27431864 0.26341787 0.2525171  ... 0.08933566 0.08423761 0.07913955]
 [0.2727921  0.2618913  0.25099057 ... 0.08780912 0.08271106 0.077613  ]]"
kplanes,K-planes(add),add,linear,32,32,0,46,12.051915589308278,2081,0.005791405857428293,90.36710596084595,"[np.float64(3.8323847719363533), np.float64(12.0517230451842), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915848807466), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915589308278), np.float64(12.051915589308278)]",0.06234597787261009,"[[0.71469826 0.70379746 0.69289666 ... 0.52971524 0.52461714 0.51951915]
 [0.7145951  0.7036942  0.6927935  ... 0.52961206 0.524514   0.5194159 ]
 [0.7144919  0.70359117 0.6926904  ... 0.52950895 0.52441084 0.5193128 ]
 ...
 [0.27584514 0.2649444  0.25404364 ... 0.0908622  0.08576415 0.0806661 ]
 [0.27431864 0.26341787 0.2525171  ... 0.08933566 0.08423761 0.07913955]
 [0.2727921  0.2618913  0.25099057 ... 0.08780912 0.08271106 0.077613  ]]"
kplanes,K-planes(add),add,nonconvex,32,32,0,42,20.011133187241633,4225,0.004736362884554233,111.89472794532776,"[np.float64(4.299463404976139), np.float64(16.146385789873314), np.float64(18.133985542736795), np.float64(17.996160667681693), np.float64(19.37664025499477), np.float64(19.911420603931354), np.float64(20.529145782021278), np.float64(20.827050353862326), np.float64(20.52474463511034), np.float64(20.926121639925537)]",0.009974397718906403,"[[0.835815   0.77226156 0.72763646 ... 0.54245263 0.5391036  0.5357551 ]
 [0.85671335 0.7924138  0.7419248  ... 0.54909146 0.54574275 0.54239416]
 [0.87761176 0.81256586 0.7560788  ... 0.5557306  0.55238163 0.5490331 ]
 ...
 [0.857874   0.83855593 0.8224793  ... 0.09165883 0.10710878 0.1326356 ]
 [0.8604445  0.83654124 0.820464   ... 0.07760388 0.09296808 0.12027213]
 [0.86301595 0.83452594 0.8184493  ... 0.08102835 0.08060497 0.10790876]]"
kplanes,K-planes(add),add,nonconvex,32,32,0,43,20.011133187241633,4225,0.004736362884554233,111.79808712005615,"[np.float64(4.299463404976139), np.float64(16.146385789873314), np.float64(18.133985542736795), np.float64(17.996160667681693), np.float64(19.37664025499477), np.float64(19.911420603931354), np.float64(20.529145782021278), np.float64(20.827050353862326), np.float64(20.52474463511034), np.float64(20.926121639925537)]",0.009974397718906403,"[[0.835815   0.77226156 0.72763646 ... 0.54245263 0.5391036  0.5357551 ]
 [0.85671335 0.7924138  0.7419248  ... 0.54909146 0.54574275 0.54239416]
 [0.87761176 0.81256586 0.7560788  ... 0.5557306  0.55238163 0.5490331 ]
 ...
 [0.857874   0.83855593 0.8224793  ... 0.09165883 0.10710878 0.1326356 ]
 [0.8604445  0.83654124 0.820464   ... 0.07760388 0.09296808 0.12027213]
 [0.86301595 0.83452594 0.8184493  ... 0.08102835 0.08060497 0.10790876]]"
kplanes,K-planes(add),add,nonconvex,32,32,0,44,20.011133187241633,4225,0.004736362884554233,111.4324700832367,"[np.float64(4.299463404976139), np.float64(16.146385789873314), np.float64(18.133985542736795), np.float64(17.996160667681693), np.float64(19.37664025499477), np.float64(19.911420603931354), np.float64(20.529145782021278), np.float64(20.827050353862326), np.float64(20.52474463511034), np.float64(20.926121639925537)]",0.009974397718906403,"[[0.835815   0.77226156 0.72763646 ... 0.54245263 0.5391036  0.5357551 ]
 [0.85671335 0.7924138  0.7419248  ... 0.54909146 0.54574275 0.54239416]
 [0.87761176 0.81256586 0.7560788  ... 0.5557306  0.55238163 0.5490331 ]
 ...
 [0.857874   0.83855593 0.8224793  ... 0.09165883 0.10710878 0.1326356 ]
 [0.8604445  0.83654124 0.820464   ... 0.07760388 0.09296808 0.12027213]
 [0.86301595 0.83452594 0.8184493  ... 0.08102835 0.08060497 0.10790876]]"
kplanes,K-planes(add),add,nonconvex,32,32,0,45,20.011133187241633,4225,0.004736362884554233,112.67528700828552,"[np.float64(4.299463404976139), np.float64(16.146385789873314), np.float64(18.133985542736795), np.float64(17.996160667681693), np.float64(19.37664025499477), np.float64(19.911420603931354), np.float64(20.529145782021278), np.float64(20.827050353862326), np.float64(20.52474463511034), np.float64(20.926121639925537)]",0.009974397718906403,"[[0.835815   0.77226156 0.72763646 ... 0.54245263 0.5391036  0.5357551 ]
 [0.85671335 0.7924138  0.7419248  ... 0.54909146 0.54574275 0.54239416]
 [0.87761176 0.81256586 0.7560788  ... 0.5557306  0.55238163 0.5490331 ]
 ...
 [0.857874   0.83855593 0.8224793  ... 0.09165883 0.10710878 0.1326356 ]
 [0.8604445  0.83654124 0.820464   ... 0.07760388 0.09296808 0.12027213]
 [0.86301595 0.83452594 0.8184493  ... 0.08102835 0.08060497 0.10790876]]"
kplanes,K-planes(add),add,nonconvex,32,32,0,46,20.011133187241633,4225,0.004736362884554233,109.35412240028381,"[np.float64(4.299463404976139), np.float64(16.146385789873314), np.float64(18.133985542736795), np.float64(17.996160667681693), np.float64(19.37664025499477), np.float64(19.911420603931354), np.float64(20.529145782021278), np.float64(20.827050353862326), np.float64(20.52474463511034), np.float64(20.926121639925537)]",0.009974397718906403,"[[0.835815   0.77226156 0.72763646 ... 0.54245263 0.5391036  0.5357551 ]
 [0.85671335 0.7924138  0.7419248  ... 0.54909146 0.54574275 0.54239416]
 [0.87761176 0.81256586 0.7560788  ... 0.5557306  0.55238163 0.5490331 ]
 ...
 [0.857874   0.83855593 0.8224793  ... 0.09165883 0.10710878 0.1326356 ]
 [0.8604445  0.83654124 0.820464   ... 0.07760388 0.09296808 0.12027213]
 [0.86301595 0.83452594 0.8184493  ... 0.08102835 0.08060497 0.10790876]]"
